ID,FPS,LOOPTYPE,,,,
BP3,10,0,,,,
,,,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/0.png,0,0,0,0,0,0
graphics/BindPlayerEffect/0.png,0,0,0,0,0,0
graphics/BindPlayerEffect/0.png,0,0,0,0,0,0
graphics/BindPlayerEffect/0.png,0,0,0,0,0,0
graphics/BindPlayerEffect/0.png,0,0,0,0,0,0
graphics/BindPlayerEffect/0.png,0,0,0,0,0,0
graphics/BindPlayerEffect/0.png,73,1,13,14,11,-9
graphics/BindPlayerEffect/0.png,86,0,38,39,-8,-22
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,123,0,52,70,-9,-38
graphics/BindPlayerEffect/0.png,176,0,52,70,-5,-38
graphics/BindPlayerEffect/0.png,226,0,52,70,-14,-38
graphics/BindPlayerEffect/0.png,278,0,52,70,-12,-38
graphics/BindPlayerEffect/0.png,328,0,37,37,-9,-21
graphics/BindPlayerEffect/0.png,366,0,23,28,9,-17
graphics/BindPlayerEffect/0.png,389,0,16,23,8,-16
graphics/BindPlayerEffect/0.png,0,0,0,0,20.5,1.5
