ID,FPS,LOOPTYPE,,
Attack,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/berserker_96pix.png,384,96,96,96
graphics/CustomSprite/berserker_96pix.png,480,96,96,96
graphics/CustomSprite/berserker_96pix.png,576,96,96,96
graphics/CustomSprite/berserker_96pix.png,672,96,96,96
graphics/CustomSprite/berserker_96pix.png,768,96,96,96
graphics/CustomSprite/berserker_96pix.png,0,192,96,96
graphics/CustomSprite/berserker_96pix.png,96,192,96,96
graphics/CustomSprite/berserker_96pix.png,192,192,96,96
graphics/CustomSprite/berserker_96pix.png,288,192,96,96
graphics/CustomSprite/berserker_96pix.png,384,192,96,96
