ID,FPS,LOOPTYPE,,
Die,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/priest_64pix.png,128,192,64,64
graphics/CustomSprite/priest_64pix.png,192,192,64,64
graphics/CustomSprite/priest_64pix.png,256,192,64,64
graphics/CustomSprite/priest_64pix.png,320,192,64,64
graphics/CustomSprite/priest_64pix.png,384,192,64,64
graphics/CustomSprite/priest_64pix.png,0,256,64,64
graphics/CustomSprite/priest_64pix.png,64,256,64,64
graphics/CustomSprite/priest_64pix.png,128,256,64,64
graphics/CustomSprite/priest_64pix.png,192,256,64,64
graphics/CustomSprite/priest_64pix.png,256,256,64,64
