ID,FPS,LOOPTYPE,,
Attack,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/pyromancer_96pix.png,192,96,96,96
graphics/CustomSprite/pyromancer_96pix.png,288,96,96,96
graphics/CustomSprite/pyromancer_96pix.png,384,96,96,96
graphics/CustomSprite/pyromancer_96pix.png,480,96,96,96
graphics/CustomSprite/pyromancer_96pix.png,576,96,96,96
graphics/CustomSprite/pyromancer_96pix.png,0,192,96,96
graphics/CustomSprite/pyromancer_96pix.png,96,192,96,96
graphics/CustomSprite/pyromancer_96pix.png,192,192,96,96
