ID,FPS,LOOPTYPE,,
Die,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/shieldbearer_64pix.png,128,64,64,64
graphics/CustomSprite/shieldbearer_64pix.png,192,64,64,64
graphics/CustomSprite/shieldbearer_64pix.png,256,64,64,64
graphics/CustomSprite/shieldbearer_64pix.png,320,64,64,64
graphics/CustomSprite/shieldbearer_64pix.png,384,64,64,64
graphics/CustomSprite/shieldbearer_64pix.png,0,128,64,64
graphics/CustomSprite/shieldbearer_64pix.png,64,128,64,64
graphics/CustomSprite/shieldbearer_64pix.png,128,128,64,64
graphics/CustomSprite/shieldbearer_64pix.png,192,128,64,64
graphics/CustomSprite/shieldbearer_64pix.png,256,128,64,64
