ID,FPS,LOOPTYPE,,
Skill,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/priest_64pix.png,320,320,64,64
graphics/CustomSprite/priest_64pix.png,384,320,64,64
graphics/CustomSprite/priest_128pix.png,0,0,128,128
graphics/CustomSprite/priest_128pix.png,128,0,128,128
graphics/CustomSprite/priest_128pix.png,256,0,128,128
graphics/CustomSprite/priest_128pix.png,384,0,128,128
graphics/CustomSprite/priest_128pix.png,512,0,128,128
graphics/CustomSprite/priest_128pix.png,640,0,128,128
graphics/CustomSprite/priest_128pix.png,768,0,128,128
