ID,FPS,LOOPTYPE,,
UltiSkill,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/archer_64pix.png,384,256,64,64
graphics/CustomSprite/archer_64pix.png,448,256,64,64
graphics/CustomSprite/archer_64pix.png,0,320,64,64
graphics/CustomSprite/archer_64pix.png,64,320,64,64
graphics/CustomSprite/archer_64pix.png,128,320,64,64
graphics/CustomSprite/archer_64pix.png,192,320,64,64
graphics/CustomSprite/archer_64pix.png,256,320,64,64
graphics/CustomSprite/archer_64pix.png,320,320,64,64
graphics/CustomSprite/archer_64pix.png,384,320,64,64
