ID,FPS,LOOPTYPE,,
Skill,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/soldier_64pix.png,192,128,64,64
graphics/CustomSprite/soldier_64pix.png,256,128,64,64
graphics/CustomSprite/soldier_64pix.png,320,128,64,64
graphics/CustomSprite/soldier_64pix.png,384,128,64,64
graphics/CustomSprite/soldier_64pix.png,448,128,64,64
graphics/CustomSprite/soldier_64pix.png,0,192,64,64
graphics/CustomSprite/soldier_64pix.png,64,192,64,64
graphics/CustomSprite/soldier_64pix.png,128,192,64,64
graphics/CustomSprite/soldier_64pix.png,192,192,64,64
graphics/CustomSprite/soldier_64pix.png,256,192,64,64
