ID,FPS,LOOPTYPE,,
Die,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/archer1.png,256,128,64,64
graphics/CustomSprite/archer1.png,320,128,64,64
graphics/CustomSprite/archer1.png,384,128,64,64
graphics/CustomSprite/archer1.png,448,128,64,64
graphics/CustomSprite/archer1.png,0,192,64,64
graphics/CustomSprite/archer1.png,64,192,64,64
graphics/CustomSprite/archer1.png,128,192,64,64
graphics/CustomSprite/archer1.png,192,192,64,64
graphics/CustomSprite/archer1.png,256,192,64,64
graphics/CustomSprite/archer1.png,320,192,64,64
