ID,FPS,LOOPTYPE,,
UtilSkill,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/archer1.png,384,256,64,64
graphics/CustomSprite/archer1.png,448,256,64,64
graphics/CustomSprite/archer1.png,0,320,64,64
graphics/CustomSprite/archer1.png,64,320,64,64
graphics/CustomSprite/archer1.png,128,320,64,64
graphics/CustomSprite/archer1.png,192,320,64,64
graphics/CustomSprite/archer1.png,256,320,64,64
graphics/CustomSprite/archer1.png,320,320,64,64
graphics/CustomSprite/archer1.png,384,320,64,64
