ID,FPS,LOOPTYPE,,
Idle,75,1,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/LeagueSystem/Banpick/banpick_sheet2.png,0,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,82,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,164,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,246,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,328,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,410,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,492,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,574,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,656,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,738,0,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,0,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,82,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,164,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,246,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,328,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,410,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,492,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,574,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,656,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,738,100,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,0,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,82,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,164,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,246,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,328,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,410,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,492,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,574,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,656,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,738,200,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,0,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,82,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,164,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,246,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,328,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,410,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,492,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,574,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,656,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,738,300,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,0,400,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,82,400,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,164,400,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,246,400,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,328,400,82,100
graphics/LeagueSystem/Banpick/banpick_sheet2.png,410,400,82,100
