Code,TEXTUREID,Grade,Atk,Def,AtkSpeed,CoolDown,HpDrain,ProficiencyCode,ProficiencyValue,ChampProficiencyCode,ChampProficiencyValue
0,graphics/Origin/Sprite/items_chair_1.png,0,0,0,0,0,0,0,0,0,0
1,graphics/Origin/Sprite/items_chair_2.png,0,1,0,0,0,0,0,0,0,0
2,graphics/Origin/Sprite/items_chair_6.png,0,0,1,0,0,0,0,0,0,0
3,graphics/Origin/Sprite/items_chair_7.png,0,0,0,1,0,0,0,0,0,0
4,graphics/Origin/Sprite/items_chair_5.png,1,2,0,0,0,0,0,0,0,0
5,graphics/Origin/Sprite/items_chair_12.png,1,0,2,0,0,0,0,0,0,0
6,graphics/Origin/Sprite/items_chair_10.png,1,0,0,2,0,0,0,0,0,0
7,graphics/Origin/Sprite/items_chair_19.png,1,1,1,0,0,0,0,0,0,0
8,graphics/Origin/Sprite/items_chair_17.png,1,0,0,0,0,0,1,2,0,0
9,graphics/Origin/Sprite/items_chair_21.png,1,0,0,0,0,0,2,2,0,0
10,graphics/Origin/Sprite/items_chair_13.png,1,0,0,0,0,0,5,2,0,0
11,graphics/Origin/Sprite/items_chair_11.png,1,0,0,0,2,0,0,0,0,0
12,graphics/Origin/Sprite/items_chair_14.png,2,4,0,0,0,0,0,0,0,0
13,graphics/Origin/Sprite/items_chair_16.png,2,0,4,0,0,0,0,0,0,0
14,graphics/Origin/Sprite/items_chair_25.png,2,0,0,3,0,0,0,0,0,0
15,graphics/Origin/Sprite/items_chair_24.png,2,0,0,0,4,0,0,0,0,0
16,graphics/Origin/Sprite/items_chair_18.png,2,0,0,0,0,0,0,0,14,6
17,graphics/Origin/Sprite/items_chair_9.png,2,0,0,0,0,0,0,0,12,6
18,graphics/Origin/Sprite/items_chair_3.png,2,0,0,0,0,0,0,0,7,6
19,graphics/Origin/Sprite/items_chair_4.png,2,0,0,0,0,0,4,4,0,0
20,graphics/Origin/Sprite/items_chair_20.png,3,0,3,0,5,0,0,0,0,0
21,graphics/Origin/Sprite/items_chair_28.png,3,0,4,0,0,4,0,0,0,0
22,graphics/Origin/Sprite/items_chair_22.png,3,0,0,3,4,0,0,0,0,0
23,graphics/Origin/Sprite/items_chair_15.png,3,0,3,0,0,0,2,2,0,0
24,graphics/Origin/Sprite/items_chair_26.png,3,0,0,0,6,0,5,2,0,0
25,graphics/Origin/Sprite/items_chair_23.png,3,4,4,0,0,0,0,0,0,0
26,graphics/Origin/Sprite/items_chair_0.png,4,0,0,0,0,0,1,12,0,0
27,graphics/Origin/Sprite/items_chair_27.png,4,0,0,0,0,0,5,12,0,0
28,graphics/Origin/Sprite/items_chair_8.png,4,5,5,0,4,0,0,0,0,0
