Code,TEXTUREID,Grade,Atk,Def,AtkSpeed,CoolDown,HpDrain,ProficiencyCode,ProficiencyValue,ChampProficiencyCode,ChampProficiencyValue
0,graphics/Origin/Sprite/items_headset_28.png,0,0,0,0,0,0,0,0,0,0
1,graphics/Origin/Sprite/items_headset_8.png,0,1,0,0,0,0,0,0,0,0
2,graphics/Origin/Sprite/items_headset_9.png,0,0,1,0,0,0,0,0,0,0
3,graphics/Origin/Sprite/items_headset_17.png,0,0,0,1,0,0,0,0,0,0
4,graphics/Origin/Sprite/items_headset_15.png,1,2,0,0,0,0,0,0,0,0
5,graphics/Origin/Sprite/items_headset_6.png,1,0,2,0,0,0,0,0,0,0
6,graphics/Origin/Sprite/items_headset_11.png,1,0,0,0,2,0,0,0,0,0
7,graphics/Origin/Sprite/items_headset_0.png,1,0,0,0,0,0,1,2,0,0
8,graphics/Origin/Sprite/items_headset_12.png,1,0,0,0,0,0,2,2,0,0
9,graphics/Origin/Sprite/items_headset_16.png,1,0,0,0,0,0,4,2,0,0
10,graphics/Origin/Sprite/items_headset_26.png,1,0,0,0,0,0,5,2,0,0
11,graphics/Origin/Sprite/items_headset_5.png,2,1,0,3,0,0,0,0,0,0
12,graphics/Origin/Sprite/items_headset_4.png,2,0,4,0,0,0,0,0,0,0
13,graphics/Origin/Sprite/items_headset_19.png,2,3,0,0,0,0,2,1,0,0
14,graphics/Origin/Sprite/items_headset_22.png,2,0,0,0,0,0,5,4,0,0
15,graphics/Origin/Sprite/items_headset_14.png,2,0,0,0,0,0,3,4,0,0
16,graphics/Origin/Sprite/items_headset_20.png,2,0,0,0,0,0,4,4,0,0
17,graphics/Origin/Sprite/items_headset_18.png,2,0,3,0,0,0,1,1,0,0
18,graphics/Origin/Sprite/items_headset_29.png,2,4,0,0,0,0,0,0,0,0
19,graphics/Origin/Sprite/items_headset_3.png,2,0,0,0,4,0,0,0,0,0
20,graphics/Origin/Sprite/items_headset_30.png,2,0,2,1,0,0,0,0,0,0
21,graphics/Origin/Sprite/items_headset_23.png,3,4,4,0,0,0,0,0,0,0
22,graphics/Origin/Sprite/items_headset_24.png,3,5,0,2,0,0,0,0,0,0
23,graphics/Origin/Sprite/items_headset_7.png,3,0,0,0,0,8,0,0,0,0
24,graphics/Origin/Sprite/items_headset_10.png,3,0,0,0,0,0,2,8,0,0
25,graphics/Origin/Sprite/items_headset_2.png,3,0,0,3,0,0,2,3,0,0
26,graphics/Origin/Sprite/items_headset_25.png,3,0,0,0,0,0,5,8,0,0
27,graphics/Origin/Sprite/items_headset_1.png,3,3,3,0,0,0,0,0,2,3
28,graphics/Origin/Sprite/items_headset_13.png,4,12,0,0,0,0,0,0,0,0
29,graphics/Origin/Sprite/items_headset_27.png,4,0,0,0,0,0,0,0,10,18
30,graphics/Origin/Sprite/items_headset_21.png,4,4,4,2,0,0,0,0,0,0
