Code,TEXTUREID,Grade,Atk,Def,AtkSpeed,CoolDown,HpDrain,ProficiencyCode,ProficiencyValue,ChampProficiencyCode,ChampProficiencyValue
0,graphics/Origin/Sprite/items_uniform_31.png,0,0,0,0,0,0,0,0,0,0
1,graphics/Origin/Sprite/items_uniform_30.png,0,1,0,0,0,0,0,0,0,0
2,graphics/Origin/Sprite/items_uniform_3.png,0,0,1,0,0,0,0,0,0,0
3,graphics/Origin/Sprite/items_uniform_27.png,0,0,0,1,0,0,0,0,0,0
4,graphics/Origin/Sprite/items_uniform_0.png,1,2,0,0,0,0,0,0,0,0
5,graphics/Origin/Sprite/items_uniform_6.png,1,0,2,0,0,0,0,0,0,0
6,graphics/Origin/Sprite/items_uniform_5.png,1,0,0,2,0,0,0,0,0,0
7,graphics/Origin/Sprite/items_uniform_16.png,1,0,0,0,2,0,0,0,0,0
8,graphics/Origin/Sprite/items_uniform_25.png,1,0,0,0,0,0,2,2,0,0
9,graphics/Origin/Sprite/items_uniform_21.png,1,0,0,0,0,0,5,2,0,0
10,graphics/Origin/Sprite/items_uniform_22.png,1,0,0,0,0,0,3,2,0,0
11,graphics/Origin/Sprite/items_uniform_17.png,1,0,0,0,0,0,0,0,6,3
12,graphics/Origin/Sprite/items_uniform_10.png,1,0,0,0,0,0,0,0,5,3
13,graphics/Origin/Sprite/items_uniform_1.png,2,4,0,0,0,0,0,0,0,0
14,graphics/Origin/Sprite/items_uniform_26.png,2,0,4,0,0,0,0,0,0,0
15,graphics/Origin/Sprite/items_uniform_29.png,2,0,0,2,2,0,0,0,0,0
16,graphics/Origin/Sprite/items_uniform_28.png,2,2,0,0,0,0,1,2,0,0
17,graphics/Origin/Sprite/items_uniform_11.png,2,0,2,0,0,0,0,0,3,3
18,graphics/Origin/Sprite/items_uniform_4.png,2,0,0,0,0,0,0,0,11,6
19,graphics/Origin/Sprite/items_uniform_9.png,2,0,0,0,0,0,0,0,2,6
20,graphics/Origin/Sprite/items_uniform_18.png,2,0,0,0,0,0,0,0,4,6
21,graphics/Origin/Sprite/items_uniform_24.png,2,0,0,0,0,0,0,0,9,6
22,graphics/Origin/Sprite/items_uniform_13.png,3,8,0,0,0,0,0,0,0,0
23,graphics/Origin/Sprite/items_uniform_12.png,3,0,8,0,0,0,0,0,0,0
24,graphics/Origin/Sprite/items_uniform_7.png,3,4,4,0,0,0,0,0,0,0
25,graphics/Origin/Sprite/items_uniform_15.png,3,2,2,0,0,4,0,0,0,0
26,graphics/Origin/Sprite/items_uniform_8.png,3,0,5,0,3,0,0,0,0,0
27,graphics/Origin/Sprite/items_uniform_23.png,3,0,0,0,0,8,0,0,0,0
28,graphics/Origin/Sprite/items_uniform_19.png,3,0,0,2,4,0,0,0,0,0
29,graphics/Origin/Sprite/items_uniform_2.png,4,0,0,5,8,0,0,0,0,0
30,graphics/Origin/Sprite/items_uniform_20.png,4,0,0,0,0,0,4,18,0,0
31,graphics/Origin/Sprite/items_uniform_14.png,4,0,7,0,0,0,1,5,0,0
